2024/07/14 11:36:23 logger.go:19: ERROR: could not get img identifier due to irregular filename | '464132-034842194 -0300 -03 m=.png'
2024/07/14 11:36:23 logger.go:19: ERROR: could not get img identifier due to irregular filename | '12274-059916354 -0300 -03 m=.png'
2024/07/14 12:04:21 logger.go:19: ERROR: could not get img identifier due to irregular filename | '12274-059916354 -0300 -03 m=.png'
2024/07/14 12:04:21 logger.go:19: ERROR: could not get img identifier due to irregular filename | '460020-976994201 -0300 -03 m=.png'
2024/07/14 12:04:28 logger.go:19: ERROR: could not get img identifier due to irregular filename | '460020-976994201 -0300 -03 m=.png'
2024/07/14 12:04:28 logger.go:19: ERROR: could not get img identifier due to irregular filename | '12419-04749367 -0300 -03 m=.png'
2024/07/14 12:43:30 logger.go:19: ERROR: could not get img identifier due to irregular filename | '12419-04749367 -0300 -03 m=.png'
2024/07/14 12:43:30 logger.go:19: ERROR: could not get img identifier due to irregular filename | '454348-121805774 -0300 -03 m=.png'
2024/07/14 12:43:32 logger.go:19: ERROR: could not get img identifier due to irregular filename | '454348-121805774 -0300 -03 m=.png'
2024/07/14 12:43:32 logger.go:19: ERROR: could not get img identifier due to irregular filename | '15528-566193298 -0300 -03 m=.png'
2024/07/14 12:54:08 logger.go:19: ERROR: could not get img identifier due to irregular filename | '15528-566193298 -0300 -03 m=.png'
2024/07/14 12:54:08 logger.go:19: ERROR: could not get img identifier due to irregular filename | '395713-295797621 -0300 -03 m=.png'
2024/07/14 12:54:11 logger.go:19: ERROR: could not get img identifier due to irregular filename | '395713-295797621 -0300 -03 m=.png'
2024/07/14 12:54:11 logger.go:19: ERROR: could not get img identifier due to irregular filename | '24720-492272091 -0300 -03 m=.png'
2024/07/14 13:28:31 logger.go:19: ERROR: could not get img identifier due to irregular filename | '24720-492272091 -0300 -03 m=.png'
2024/07/14 13:28:31 logger.go:19: ERROR: could not get img identifier due to irregular filename | '368528-968405285 -0300 -03 m=.png'
2024/07/14 13:28:40 logger.go:19: ERROR: could not get img identifier due to irregular filename | '368528-968405285 -0300 -03 m=.png'
2024/07/14 13:28:40 logger.go:19: ERROR: could not get img identifier due to irregular filename | '20247-393357431 -0300 -03 m=.png'
2024/07/14 13:30:07 logger.go:19: ERROR: unexpected EOF
2024/07/14 13:46:58 logger.go:19: ERROR: could not get img identifier due to irregular filename | '20247-393357431 -0300 -03 m=.png'
2024/07/14 13:46:58 logger.go:19: ERROR: could not get img identifier due to irregular filename | '287053-456917377 -0300 -03 m=.png'
2024/07/14 13:49:27 logger.go:19: ERROR: could not get img identifier due to irregular filename | '287053-456917377 -0300 -03 m=.png'
2024/07/14 13:49:27 logger.go:19: ERROR: could not get img identifier due to irregular filename | '467181-868998251 -0300 -03 m=.png'
2024/07/14 13:53:05 logger.go:19: ERROR: could not get img identifier due to irregular filename | '467181-868998251 -0300 -03 m=.png'
2024/07/14 13:53:05 logger.go:19: ERROR: could not get img identifier due to irregular filename | '403026-162826492 -0300 -03 m=.png'
2024/07/14 13:53:09 logger.go:19: ERROR: could not get img identifier due to irregular filename | '403026-162826492 -0300 -03 m=.png'
2024/07/14 13:53:09 logger.go:19: ERROR: could not get img identifier due to irregular filename | '18475-839425808 -0300 -03 m=.png'
2024/07/14 13:54:04 logger.go:19: ERROR: could not get img identifier due to irregular filename | '18475-839425808 -0300 -03 m=.png'
2024/07/14 13:54:04 logger.go:19: ERROR: could not get img identifier due to irregular filename | '403731-995181778 -0300 -03 m=.png'
2024/07/14 13:54:06 logger.go:19: ERROR: could not get img identifier due to irregular filename | '403731-995181778 -0300 -03 m=.png'
2024/07/14 13:54:06 logger.go:19: ERROR: could not get img identifier due to irregular filename | '11388-93228897 -0300 -03 m=.png'
2024/07/14 13:54:13 logger.go:19: ERROR: could not get img identifier due to irregular filename | '11388-93228897 -0300 -03 m=.png'
2024/07/14 13:54:13 logger.go:19: ERROR: could not get img identifier due to irregular filename | '418077-797591106 -0300 -03 m=.png'
2024/07/14 13:54:16 logger.go:19: ERROR: could not get img identifier due to irregular filename | '418077-797591106 -0300 -03 m=.png'
2024/07/14 13:54:16 logger.go:19: ERROR: could not get img identifier due to irregular filename | '25070-29303973 -0300 -03 m=.png'
2024/07/14 13:54:21 logger.go:19: ERROR: could not get img identifier due to irregular filename | '25070-29303973 -0300 -03 m=.png'
2024/07/14 13:54:21 logger.go:19: ERROR: could not get img identifier due to irregular filename | '368371-751657168 -0300 -03 m=.png'
2024/07/14 13:54:24 logger.go:19: ERROR: could not get img identifier due to irregular filename | '368371-751657168 -0300 -03 m=.png'
2024/07/14 13:54:24 logger.go:19: ERROR: could not get img identifier due to irregular filename | '25043-198428869 -0300 -03 m=.png'
2024/07/14 14:18:17 logger.go:19: ERROR: could not get img identifier due to irregular filename | '25043-198428869 -0300 -03 m=.png'
2024/07/14 14:18:17 logger.go:19: ERROR: could not get img identifier due to irregular filename | '420048-771554348 -0300 -03 m=.png'
2024/07/14 14:18:21 logger.go:19: ERROR: could not get img identifier due to irregular filename | '420048-771554348 -0300 -03 m=.png'
2024/07/14 14:18:21 logger.go:19: ERROR: could not get img identifier due to irregular filename | '22514-635703115 -0300 -03 m=.png'
2024/07/14 15:45:08 logger.go:19: ERROR: could not get img identifier due to irregular filename | '22514-635703115 -0300 -03 m=.png'
2024/07/14 15:45:08 logger.go:19: ERROR: could not get img identifier due to irregular filename | '95491-134842045 -0300 -03 m=.png'
2024/07/15 13:04:52 logger.go:19: ERROR: could not get img identifier due to irregular filename | '22514-635703115 -0300 -03 m=.png'
2024/07/15 13:04:52 logger.go:19: ERROR: could not get img identifier due to irregular filename | '208146-02913279 -0300 -03 m=.png'
2024/07/15 13:04:52 logger.go:19: ERROR: failed to delete image | /home/firmino/.config/clipse/tmp_files/22514-635703115 -0300 -03 m=.png | remove /home/firmino/.config/clipse/tmp_files/22514-635703115 -0300 -03 m=.png: no such file or directory
2024/07/15 13:04:54 logger.go:19: ERROR: could not get img identifier due to irregular filename | '208146-02913279 -0300 -03 m=.png'
2024/07/15 13:04:54 logger.go:19: ERROR: could not get img identifier due to irregular filename | '82220-658462061 -0300 -03 m=.png'
2024/07/15 13:05:06 logger.go:19: ERROR: could not get img identifier due to irregular filename | '82220-658462061 -0300 -03 m=.png'
2024/07/15 13:05:06 logger.go:19: ERROR: could not get img identifier due to irregular filename | '208125-6594991 -0300 -03 m=.png'
